survey,survey_n,model_sedimentation_class,threshold_cm,threshold_label,survey_start_date,survey_end_date,survey_dates,measured_meter_positions,n_transects,positive_meter_positions,negative_meter_positions,positive_area,negative_area,net_positive_area,net_positive_area_lcl,net_positive_area_ucl,ci_note,evidence_positive_asymmetry
Con20,20,1.0 cm predicted (dashed red),0.15,0.15 cm (1.5 mm),2026-03-10,2026-03-10,2026-03-10,102,2,35,61,0.3431372549019608,0.5980392156862745,-0.2549019607843137,NA,NA,CI not estimated: fewer than 3 transects,NA
Con20,20,1.0 cm predicted (dashed red),0.5,0.5 cm,2026-03-10,2026-03-10,2026-03-10,102,2,24,52,0.23529411764705882,0.5098039215686274,-0.2745098039215686,NA,NA,CI not estimated: fewer than 3 transects,NA
Con20,20,1.0 cm predicted (dashed red),1,1.0 cm,2026-03-10,2026-03-10,2026-03-10,102,2,17,39,0.16666666666666666,0.38235294117647056,-0.2156862745098039,NA,NA,CI not estimated: fewer than 3 transects,NA
Con20,20,1.5 mm predicted (solid red),0.15,0.15 cm (1.5 mm),2026-03-10,2026-03-10,2026-03-10,102,2,54,41,0.5294117647058824,0.4019607843137255,0.12745098039215685,NA,NA,CI not estimated: fewer than 3 transects,NA
Con20,20,1.5 mm predicted (solid red),0.5,0.5 cm,2026-03-10,2026-03-10,2026-03-10,102,2,42,26,0.4117647058823529,0.2549019607843137,0.1568627450980392,NA,NA,CI not estimated: fewer than 3 transects,NA
Con20,20,1.5 mm predicted (solid red),1,1.0 cm,2026-03-10,2026-03-10,2026-03-10,102,2,18,15,0.17647058823529413,0.14705882352941177,0.02941176470588236,NA,NA,CI not estimated: fewer than 3 transects,NA
Con20,20,0 cm predicted (outside),0.15,0.15 cm (1.5 mm),2026-03-10,2026-03-10,2026-03-10,459,9,147,255,0.3202614379084967,0.5555555555555556,-0.23529411764705888,-0.30936819172113283,-0.16122004357298475,Transect bootstrap CI,FALSE
Con20,20,0 cm predicted (outside),0.5,0.5 cm,2026-03-10,2026-03-10,2026-03-10,459,9,80,159,0.17429193899782136,0.3464052287581699,-0.17211328976034856,-0.25054466230936817,-0.08496732026143791,Transect bootstrap CI,FALSE
Con20,20,0 cm predicted (outside),1,1.0 cm,2026-03-10,2026-03-10,2026-03-10,459,9,31,89,0.06753812636165578,0.19389978213507625,-0.12636165577342046,-0.1786492374727669,-0.07407407407407408,Transect bootstrap CI,FALSE
Con22,22,1.0 cm predicted (dashed red),0.15,0.15 cm (1.5 mm),2026-03-24,2026-03-24,2026-03-24,102,2,32,63,0.3137254901960784,0.6176470588235294,-0.303921568627451,NA,NA,CI not estimated: fewer than 3 transects,NA
Con22,22,1.0 cm predicted (dashed red),0.5,0.5 cm,2026-03-24,2026-03-24,2026-03-24,102,2,22,49,0.21568627450980393,0.4803921568627451,-0.2647058823529412,NA,NA,CI not estimated: fewer than 3 transects,NA
Con22,22,1.0 cm predicted (dashed red),1,1.0 cm,2026-03-24,2026-03-24,2026-03-24,102,2,14,35,0.13725490196078433,0.3431372549019608,-0.20588235294117646,NA,NA,CI not estimated: fewer than 3 transects,NA
Con22,22,1.5 mm predicted (solid red),0.15,0.15 cm (1.5 mm),2026-03-24,2026-03-24,2026-03-24,102,2,52,40,0.5098039215686274,0.39215686274509803,0.11764705882352938,NA,NA,CI not estimated: fewer than 3 transects,NA
Con22,22,1.5 mm predicted (solid red),0.5,0.5 cm,2026-03-24,2026-03-24,2026-03-24,102,2,31,20,0.30392156862745096,0.19607843137254902,0.10784313725490194,NA,NA,CI not estimated: fewer than 3 transects,NA
Con22,22,1.5 mm predicted (solid red),1,1.0 cm,2026-03-24,2026-03-24,2026-03-24,102,2,13,12,0.12745098039215685,0.11764705882352941,0.009803921568627444,NA,NA,CI not estimated: fewer than 3 transects,NA
Con22,22,0 cm predicted (outside),0.15,0.15 cm (1.5 mm),2026-03-24,2026-03-24,2026-03-24,459,9,172,232,0.3747276688453159,0.5054466230936819,-0.13071895424836605,-0.23099128540305014,-0.023910675381263655,Transect bootstrap CI,FALSE
Con22,22,0 cm predicted (outside),0.5,0.5 cm,2026-03-24,2026-03-24,2026-03-24,459,9,97,155,0.2113289760348584,0.33769063180827885,-0.12636165577342046,-0.21350762527233114,-0.04357298474945531,Transect bootstrap CI,FALSE
Con22,22,0 cm predicted (outside),1,1.0 cm,2026-03-24,2026-03-24,2026-03-24,459,9,45,78,0.09803921568627451,0.16993464052287582,-0.07189542483660132,-0.1372549019607843,-0.01307189542483661,Transect bootstrap CI,FALSE
Con24,24,1.0 cm predicted (dashed red),0.15,0.15 cm (1.5 mm),2026-04-07,2026-04-07,2026-04-07,102,2,32,64,0.3137254901960784,0.6274509803921569,-0.3137254901960784,NA,NA,CI not estimated: fewer than 3 transects,NA
Con24,24,1.0 cm predicted (dashed red),0.5,0.5 cm,2026-04-07,2026-04-07,2026-04-07,102,2,25,48,0.24509803921568626,0.47058823529411764,-0.22549019607843138,NA,NA,CI not estimated: fewer than 3 transects,NA
Con24,24,1.0 cm predicted (dashed red),1,1.0 cm,2026-04-07,2026-04-07,2026-04-07,102,2,14,36,0.13725490196078433,0.35294117647058826,-0.21568627450980393,NA,NA,CI not estimated: fewer than 3 transects,NA
Con24,24,1.5 mm predicted (solid red),0.15,0.15 cm (1.5 mm),2026-04-07,2026-04-07,2026-04-07,102,2,41,51,0.4019607843137255,0.5,-0.0980392156862745,NA,NA,CI not estimated: fewer than 3 transects,NA
Con24,24,1.5 mm predicted (solid red),0.5,0.5 cm,2026-04-07,2026-04-07,2026-04-07,102,2,27,28,0.2647058823529412,0.27450980392156865,-0.009803921568627472,NA,NA,CI not estimated: fewer than 3 transects,NA
Con24,24,1.5 mm predicted (solid red),1,1.0 cm,2026-04-07,2026-04-07,2026-04-07,102,2,13,14,0.12745098039215685,0.13725490196078433,-0.009803921568627472,NA,NA,CI not estimated: fewer than 3 transects,NA
Con24,24,0 cm predicted (outside),0.15,0.15 cm (1.5 mm),2026-04-07,2026-04-07,2026-04-07,408,8,111,243,0.27205882352941174,0.5955882352941176,-0.3235294117647059,-0.4362745098039216,-0.21323529411764708,Transect bootstrap CI,FALSE
Con24,24,0 cm predicted (outside),0.5,0.5 cm,2026-04-07,2026-04-07,2026-04-07,408,8,58,168,0.14215686274509803,0.4117647058823529,-0.2696078431372549,-0.3553921568627451,-0.18382352941176472,Transect bootstrap CI,FALSE
Con24,24,0 cm predicted (outside),1,1.0 cm,2026-04-07,2026-04-07,2026-04-07,408,8,30,94,0.07352941176470588,0.23039215686274508,-0.1568627450980392,-0.23529411764705882,-0.08817401960784318,Transect bootstrap CI,FALSE
Con25,25,1.0 cm predicted (dashed red),0.15,0.15 cm (1.5 mm),2026-04-16,2026-04-17,"2026-04-16, 2026-04-17",102,2,30,67,0.29411764705882354,0.6568627450980392,-0.3627450980392157,NA,NA,CI not estimated: fewer than 3 transects,NA
Con25,25,1.0 cm predicted (dashed red),0.5,0.5 cm,2026-04-16,2026-04-17,"2026-04-16, 2026-04-17",102,2,20,59,0.19607843137254902,0.5784313725490197,-0.3823529411764707,NA,NA,CI not estimated: fewer than 3 transects,NA
Con25,25,1.0 cm predicted (dashed red),1,1.0 cm,2026-04-16,2026-04-17,"2026-04-16, 2026-04-17",102,2,13,43,0.12745098039215685,0.4215686274509804,-0.29411764705882354,NA,NA,CI not estimated: fewer than 3 transects,NA
Con25,25,1.5 mm predicted (solid red),0.15,0.15 cm (1.5 mm),2026-04-17,2026-04-17,2026-04-17,102,2,29,61,0.28431372549019607,0.5980392156862745,-0.3137254901960784,NA,NA,CI not estimated: fewer than 3 transects,NA
Con25,25,1.5 mm predicted (solid red),0.5,0.5 cm,2026-04-17,2026-04-17,2026-04-17,102,2,11,34,0.10784313725490197,0.3333333333333333,-0.22549019607843135,NA,NA,CI not estimated: fewer than 3 transects,NA
Con25,25,1.5 mm predicted (solid red),1,1.0 cm,2026-04-17,2026-04-17,2026-04-17,102,2,5,17,0.049019607843137254,0.16666666666666666,-0.11764705882352941,NA,NA,CI not estimated: fewer than 3 transects,NA
Con25,25,0 cm predicted (outside),0.15,0.15 cm (1.5 mm),2026-04-16,2026-04-17,"2026-04-16, 2026-04-17",459,9,91,295,0.19825708061002179,0.6427015250544662,-0.4444444444444444,-0.5752178649237473,-0.3223856209150327,Transect bootstrap CI,FALSE
Con25,25,0 cm predicted (outside),0.5,0.5 cm,2026-04-16,2026-04-17,"2026-04-16, 2026-04-17",459,9,47,190,0.10239651416122005,0.4139433551198257,-0.3115468409586057,-0.43142701525054467,-0.19166666666666668,Transect bootstrap CI,FALSE
Con25,25,0 cm predicted (outside),1,1.0 cm,2026-04-16,2026-04-17,"2026-04-16, 2026-04-17",459,9,26,115,0.05664488017429194,0.25054466230936817,-0.19389978213507625,-0.29635076252723314,-0.10664488017429204,Transect bootstrap CI,FALSE
