survey,survey_n,survey_start_date,survey_end_date,survey_dates,model_sedimentation_class,tail_contrast,upper_tail_excess_cm,monitoring_gap_days,plot_segment
Con9,9,2026-01-24,2026-01-24,2026-01-24,1.5 mm predicted (solid red),75th minus |25th|,1.5,9,1
Con10,10,2026-02-05,2026-02-05,2026-02-05,1.5 mm predicted (solid red),75th minus |25th|,0.20833333333333354,12,1
Con11,11,2026-02-12,2026-02-12,2026-02-12,1.5 mm predicted (solid red),75th minus |25th|,0.5,7,1
Con12,12,2026-02-20,2026-02-20,2026-02-20,1.5 mm predicted (solid red),75th minus |25th|,0.49999999999999994,8,1
Con20,20,2026-03-10,2026-03-10,2026-03-10,1.5 mm predicted (solid red),75th minus |25th|,0.20833333333333337,18,2
Con22,22,2026-03-24,2026-03-24,2026-03-24,1.5 mm predicted (solid red),75th minus |25th|,0.16666666666666669,14,2
Con24,24,2026-04-07,2026-04-07,2026-04-07,1.5 mm predicted (solid red),75th minus |25th|,0,14,2
Con25,25,2026-04-17,2026-04-17,2026-04-17,1.5 mm predicted (solid red),75th minus |25th|,-0.45833333333333337,10,2
Con1,1,2025-11-06,2025-11-06,2025-11-06,1.5 mm predicted (solid red),90th minus |10th|,-0.18333333333333246,NA,0
Con2,2,2025-11-17,2025-11-17,2025-11-17,1.5 mm predicted (solid red),90th minus |10th|,0.18333333333333357,11,0
Con3,3,2025-11-26,2025-11-26,2025-11-26,1.5 mm predicted (solid red),90th minus |10th|,-0.01666666666666594,9,0
Con4,4,2025-12-05,2025-12-05,2025-12-05,1.5 mm predicted (solid red),90th minus |10th|,-0.34999999999999876,9,0
Con5,5,2025-12-14,2025-12-14,2025-12-14,1.5 mm predicted (solid red),90th minus |10th|,-0.16666666666666563,9,0
Con6,6,2025-12-29,2025-12-29,2025-12-29,1.5 mm predicted (solid red),90th minus |10th|,-0.3166666666666662,15,1
Con7,7,2026-01-07,2026-01-07,2026-01-07,1.5 mm predicted (solid red),90th minus |10th|,0.16666666666666696,9,1
